"행정구역(동읍면)별","항목",2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05,2023.05
"행정구역(동읍면)별","항목",계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+,계,0 - 4세,5 - 9세,10 - 14세,15 - 19세,20 - 24세,25 - 29세,30 - 34세,35 - 39세,40 - 44세,45 - 49세,50 - 54세,55 - 59세,60 - 64세,65 - 69세,70 - 74세,75 - 79세,80 - 84세,85 - 89세,90 - 94세,95 - 99세,100+
"부산광역시","여자인구수 (명)",1696609,38967,60124,65270,64018,87672,101842,96660,94843,124173,120150,141474,135441,160028,135481,100089,70879,57034,29141,10493,2484,346,1695809,38671,59893,65281,63756,87327,101581,97038,94495,124305,119327,141587,134786,160404,135786,100372,71140,57329,29295,10580,2497,359,1695035,38495,59657,65341,63577,87023,101436,97220,94088,124344,118590,141629,134846,159958,136208,100685,71548,57436,29404,10656,2520,374
"대구광역시","총인구수 (명)",2358988,60093,95574,106567,109591,138043,151692,142203,136147,177300,184317,215757,198910,201810,151852,111396,74786,61200,30191,9524,1786,249,2357881,59600,95172,106464,109164,137573,151389,142835,135739,177327,183293,215858,198018,203046,152016,111704,75119,61441,30451,9596,1830,246,2357032,59229,94852,106488,108816,136994,151007,143218,135376,177449,182145,215848,198189,203549,152157,112239,75482,61599,30613,9690,1843,249
"대구광역시","남자인구수 (명)",1159876,30886,48805,54930,56915,73066,80212,76734,70986,87816,90637,105716,97052,97094,71566,50045,31626,23489,9682,2272,321,26,1159042,30616,48650,54815,56708,72786,79928,77065,70861,87813,90207,105713,96556,97663,71693,50191,31766,23595,9765,2300,322,29,1158397,30467,48422,54821,56523,72446,79733,77187,70777,87811,89778,105590,96623,97943,71736,50434,31926,23662,9828,2334,327,29
"대구광역시","여자인구수 (명)",1199112,29207,46769,51637,52676,64977,71480,65469,65161,89484,93680,110041,101858,104716,80286,61351,43160,37711,20509,7252,1465,223,1198839,28984,46522,51649,52456,64787,71461,65770,64878,89514,93086,110145,101462,105383,80323,61513,43353,37846,20686,7296,1508,217,1198635,28762,46430,51667,52293,64548,71274,66031,64599,89638,92367,110258,101566,105606,80421,61805,43556,37937,20785,7356,1516,220
"인천광역시","총인구수 (명)",2974481,84856,122361,137456,135249,164735,207680,207706,198338,245703,236383,264788,245361,250913,176498,110136,80179,60302,31255,11488,2623,471,2976338,84441,122017,137473,135056,164076,207187,208906,198018,246066,235285,265487,244086,252664,177838,110453,80637,60412,31519,11592,2636,489,2978089,84175,121697,137418,134715,163705,206687,209886,197658,246460,234200,266012,244446,253082,178764,111007,81114,60583,31635,11706,2630,509
"인천광역시","남자인구수 (명)",1488490,43533,62666,70576,69496,85439,108326,108821,102464,126675,120613,132779,121744,125278,85908,52631,35680,23187,9630,2479,470,95,1489277,43274,62489,70604,69412,85060,108019,109494,102326,126847,120141,133175,120938,126145,86608,52733,35953,23282,9720,2496,465,96,1490065,43132,62384,70543,69218,84882,107661,110036,102191,127056,119702,133429,121018,126337,87081,52949,36198,23367,9791,2527,462,101
"인천광역시","여자인구수 (명)",1485991,41323,59695,66880,65753,79296,99354,98885,95874,119028,115770,132009,123617,125635,90590,57505,44499,37115,21625,9009,2153,376,1487061,41167,59528,66869,65644,79016,99168,99412,95692,119219,115144,132312,123148,126519,91230,57720,44684,37130,21799,9096,2171,393,1488024,41043,59313,66875,65497,78823,99026,99850,95467,119404,114498,132583,123428,126745,91683,58058,44916,37216,21844,9179,2168,408
"광주광역시","총인구수 (명)",1427508,41642,63444,73796,75896,94369,101672,88223,87365,115174,117157,128122,110628,104503,75045,55324,41116,31788,15546,5389,1122,187,1426625,41269,63115,73789,75580,94023,101593,88554,86912,115052,116665,128503,109898,105370,75593,55163,41294,31762,15744,5423,1128,195,1425739,40895,62892,73732,75372,93656,101468,88801,86506,115082,115868,128898,109898,105392,75990,55237,41606,31784,15859,5478,1127,198
"광주광역시","남자인구수 (명)",705471,21235,32546,38103,39377,48966,53269,46005,44366,57494,58123,63592,54771,50322,35405,24997,17768,12625,5047,1243,198,19,704974,21046,32407,38065,39212,48836,53237,46129,44189,57399,57917,63791,54299,50787,35661,24941,17830,12628,5124,1255,203,18,704489,20838,32292,38006,39079,48681,53132,46322,43997,57392,57573,63939,54322,50868,35833,24953,17984,12637,5153,1268,202,18
"광주광역시","여자인구수 (명)",722037,20407,30898,35693,36519,45403,48403,42218,42999,57680,59034,64530,55857,54181,39640,30327,23348,19163,10499,4146,924,168,721651,20223,30708,35724,36368,45187,48356,42425,42723,57653,58748,64712,55599,54583,39932,30222,23464,19134,10620,4168,925,177,721250,20057,30600,35726,36293,44975,48336,42479,42509,57690,58295,64959,55576,54524,40157,30284,23622,19147,10706,4210,925,180
