"부산","동구",여자,8489,3231,4816,3,12,427,19
"부산","영도구",합계,19094,5388,12182,16,22,1486,73
"부산","영도구",남자,8706,2252,5666,13,12,763,45
"부산","영도구",여자,10388,3136,6516,3,10,723,28
"부산","부산진구",합계,58734,19561,31805,68,65,7235,194
"부산","부산진구",남자,26217,7885,14572,43,41,3676,116
"부산","부산진구",여자,32517,11676,17233,25,24,3559,78
"부산","동래구",합계,48220,21725,20362,43,61,6029,113
"부산","동래구",남자,21964,8933,9889,27,43,3072,77
"부산","동래구",여자,26256,12792,10473,16,18,2957,36
"부산","남구",합계,43607,14737,24968,39,51,3812,121
"부산","남구",남자,19922,6164,11635,24,29,2070,76
"부산","남구",여자,23685,8573,13333,15,22,1742,45
"부산","북구",합계,48680,17372,25611,33,57,5607,124
"부산","북구",남자,22470,7587,12183,25,38,2637,82
"부산","북구",여자,26210,9785,13428,8,19,2970,42
"부산","해운대구",합계,65193,22648,31960,80,68,10437,161
"부산","해운대구",남자,29581,9474,14981,54,47,5025,94
"부산","해운대구",여자,35612,13174,16979,26,21,5412,67
"부산","사하구",합계,52249,13732,28149,57,44,10267,138
"부산","사하구",남자,24162,6062,13241,40,30,4789,85
"부산","사하구",여자,28087,7670,14908,17,14,5478,53
"부산","금정구",합계,39617,18257,16073,36,43,5208,115
"부산","금정구",남자,17967,7442,7742,25,30,2728,71
"부산","금정구",여자,21650,10815,8331,11,13,2480,44
"부산","강서구",합계,21011,6951,10798,17,26,3219,58
"부산","강서구",남자,10647,3409,5328,13,15,1882,39
"부산","강서구",여자,10364,3542,5470,4,11,1337,19
"부산","연제구",합계,37243,13918,19326,32,49,3918,99
"부산","연제구",남자,16777,5701,8978,21,23,2054,66
"부산","연제구",여자,20466,8217,10348,11,26,1864,33
"부산","수영구",합계,28366,11054,13236,28,34,4014,83
"부산","수영구",남자,12737,4595,6149,18,23,1952,47
"부산","수영구",여자,15629,6459,7087,10,11,2062,36
"부산","사상구",합계,35434,10321,20946,45,35,4087,135
"부산","사상구",남자,16283,4159,9970,36,24,2094,81
"부산","사상구",여자,19151,6162,10976,9,11,1993,54
"부산","기장군",합계,26486,9303,13324,20,28,3811,59
"부산","기장군",남자,12413,4012,6440,12,16,1933,35
"부산","기장군",여자,14073,5291,6884,8,12,1878,24
"대구","소계",합계,393408,171219,157558,266,455,63910,804
"대구","소계",남자,179339,71008,75546,179,303,32303,479
"대구","소계",여자,214069,100211,82012,87,152,31607,325
"대구","중구",합계,11325,5113,4377,7,17,1811,13
"대구","중구",남자,5108,2070,2047,5,10,976,6
"대구","중구",여자,6217,3043,2330,2,7,835,7
"대구","동구",합계,57390,26277,19995,38,60,11020,135
"대구","동구",남자,25930,11171,9325,22,41,5371,92
"대구","동구",여자,31460,15106,10670,16,19,5649,43
"대구","서구",합계,29747,15047,11012,21,34,3633,65
"대구","서구",남자,13101,5846,5364,15,25,1851,39
"대구","서구",여자,16646,9201,5648,6,9,1782,26
"대구","남구",합계,22762,9229,10083,12,48,3390,54
"대구","남구",남자,9894,3756,4445,11,32,1650,31
"대구","남구",여자,12868,5473,5638,1,16,1740,23
"대구","북구",합계,72389,36056,25047,56,81,11149,141
"대구","북구",남자,33420,15026,12421,37,50,5886,86
"대구","북구",여자,38969,21030,12626,19,31,5263,55
"대구","수성구",합계,68133,27707,27578,31,52,12765,123
"대구","수성구",남자,31160,11807,12925,22,35,6371,67
