"시군구별",2021,2021,2021
"시군구별",전체 혼인 건수(건),다문화 혼인 건수(건),다문화 혼인 비중(%)
"전국",192507,13926,7.2
"서울특별시",37928,3112,8.2
"부산광역시",11221,614,5.5
"대구광역시",7402,474,6.4
"인천광역시",11080,887,8
"광주광역시",4964,274,5.5
"대전광역시",5450,278,5.1
"울산광역시",4109,215,5.2
"세종특별자치시",1644,69,4.2
"경기도",55619,4341,7.8
"강원도",5670,317,5.6
"충청북도",5946,440,7.4
"충청남도",8120,649,8
"전라북도",5397,378,7
"전라남도",6249,436,7
"경상북도",8262,493,6
"경상남도",10662,661,6.2
"제주특별자치도",2686,208,7.7
"국외",98,80,81.6
